                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  0.347,                0.25823,                0.90158,                0.94966,                0.94105,                0.96849,                0.92449,                0.31986,                0.28958,                0.81638,                0.00307,                0.00307,                0.00307
                     37,                0.34159,                0.25032,                0.90182,                0.95581,                0.94519,                0.97405,                0.93093,                0.31236,                0.27311,                0.81694,               0.002872,               0.002872,               0.002872
                     38,                0.34046,                0.25212,                0.89784,                0.96146,                0.92875,                0.97105,                0.92445,                0.31893,                0.28423,                0.82142,               0.002674,               0.002674,               0.002674
                     39,                0.33271,                0.25275,                0.89808,                0.96844,                 0.9203,                0.96835,                0.91792,                0.32281,                 0.2915,                0.82217,               0.002476,               0.002476,               0.002476
                     40,                0.26922,                0.20655,                 0.8235,                0.95435,                0.92865,                0.96668,                0.92489,                0.31965,                0.30592,                0.82007,               0.002278,               0.002278,               0.002278
                     41,                0.27268,                0.20451,                0.82677,                0.96737,                0.91965,                0.96555,                0.91912,                0.31967,                0.29712,                0.82028,                0.00208,                0.00208,                0.00208
                     42,                0.26765,                0.20052,                0.82409,                0.96367,                0.93265,                0.96872,                0.92375,                0.32084,                0.28591,                0.82688,               0.001882,               0.001882,               0.001882
                     43,                0.26201,                0.19812,                0.82139,                0.97826,                 0.9305,                0.97652,                0.93534,                 0.3151,                0.28017,                0.81124,               0.001684,               0.001684,               0.001684
                     44,                 0.2559,                0.19155,                0.81504,                0.96395,                0.94029,                 0.9739,                0.92806,                0.31508,                0.26908,                 0.8126,               0.001486,               0.001486,               0.001486
                     45,                0.24789,                0.17897,                0.81018,                0.97448,                0.92451,                0.97289,                0.93015,                 0.3117,                0.27719,                0.81368,               0.001288,               0.001288,               0.001288
                     46,                 0.2446,                0.17936,                0.81528,                0.97504,                0.92908,                0.97429,                0.93268,                0.30737,                0.26905,                0.81072,                0.00109,                0.00109,                0.00109
                     47,                0.23851,                0.17231,                0.81137,                0.97506,                0.92141,                0.97316,                0.93279,                0.30511,                0.26918,                0.81344,               0.000892,               0.000892,               0.000892
                     48,                0.23453,                0.16914,                0.81378,                 0.9658,                0.93463,                0.97432,                0.93467,                0.29754,                0.26455,                0.80823,               0.000694,               0.000694,               0.000694
                     49,                0.22894,                0.16256,                0.80451,                0.97185,                0.92834,                 0.9726,                0.93805,                0.29001,                 0.2615,                 0.8048,               0.000496,               0.000496,               0.000496
